ORDER_ID,VENDOR_ID,SUPERVISOR_ID,PICKUP_CITY_NAME,PICKUP_GEO_REGION_ID,PICKUP_ZONE_ID,PICKUP_ZONE_NAME,DROP_CITY_NAME,DROP_GEO_REGION_ID,DROP_ZONE_ID,DROP_ZONE_NAME,ORDER_STATUS,ITEMS_LIST,PACKAGE_NAME,ADD_ONS,ORDER_CREATED_TS_IST,ORDER_UPDATED_TS_IST,SHIFTING_TS_IST,VENDOR_OWNER_ACCEPTED_TS_IST,SUPERVISOR_ACCEPTED_TS_IST,TRIP_STARTED_TS_IST,SHIFTING_STARTED_TS_IST,PICKUP_COMPLETED_TS_IST,ORDER_COMPLETED_TS_IST,ORDER_CANCELLED_TS_IST,OTA_FLAG,OTA_BREACH_TAT_MINUTES,CLASSIFICATION,VENDOR_BUCKET_TYPE,SHIFTING_TYPE,PICKUP_FLOOR,DROP_FLOOR,PICKUP_LIFT_STATUS,SAME_DAY_OR_SCHEDULED,PEAK_OR_NON_PEAK_DAYS,FINAL_FARE,SURGE_MULTIPLIER,TOTAL_ORDER_FARE,TOTAL_TICKETS,VENDOR_SUPERVISOR_TICKETS,VENDOR_OWNER_TICKETS,CUSTOMER_TICKETS,DETRACTOR_TICKETS,PORTER_SUPPORT_TICKETS,SPRINKLR_TICKETS,FCR_TICKETS,SPRINKLR_SESSION_COUNT,FIRST_CONTACT_RESOLUTION_FLAG,ESCALATED_TO_CITY_TEAM_FLAG,AVG_RESOLUTION_TAT,ISSUE_SUBISSUE_DICTIONARY,DRY_RUN_DISTANCE_KMS,INITIAL_CFT,FINAL_CFT,ON_TIME_DELIVERY_FLAG,IS_MODIFICATION_DONE,DEALLOCATION_STATUS
2328735,18139,36103,Mumbai,1,9,Zone 02,Mumbai,1,7,Zone 10,completed,"1 Sofa Single, 1 Bed frame Double Bed, 1 TV/Monitor 49"" to 55"", 1 AC/Cooler/Fan AC (Split), 1 Fridge Large 300-450 Ltrs, 1 Mattress Double Mattress, 1 Almirah/Wardrobe Medium (3-6 feet wide), 1 Bathroom Utility Geyser, 1 Washing Machine Washing Machine, 1 Chairs Office Chair, 1 Tables Study/Computer Table, 1 Home Utility Vacuum Cleaner, 1 Bags Medium suitcase ",1 BHK Medium,"AC Uninstallation (Split) for AC/Cooler/Fan (AC (Split)), Single-layer packing",2026-01-27 17:15:09.181000,2026-01-28 22:13:30.566000,2026-01-28 16:30:00.000000,2026-01-27 12:00:51.419000,2026-01-28 09:42:33.632000,2026-01-28 09:42:38.931000,2026-01-28 10:54:44.557000,2026-01-28 16:42:08.802000,2026-01-28 22:13:30.559000,,On_Time,,Detractor,Bronze,intra_city,0,0,ServiceLift,Scheduled,Non Peak Days,4563.0000000000000000000000000,0.9000000000000000000000000,4563.0000000000000000000000000,1,0,0,0,1,0,0,0,0,No,No,855.880000000000000,{},7.173351398,353,353,,Yes,false
2310887,272,35177,Hyderabad,4,134,Jeedimetla,Hyderabad,4,134,Jeedimetla,completed,"2 Bed frame Double Bed, 1 TV/Monitor 29"" to 43"", 1 Sofa 5 Seater, 1 Bed frame Single Bed, 25 Cartons Porter Carton Box, 10 Gunny bag Gunny Bags, 2 AC/Cooler/Fan AC (Split), 1 Fridge Large 300-450 Ltrs, 1 Fridge Mini Fridge, 3 Mattress Single Mattress, 1 Mattress Double Mattress, 1 Cartons Self Carton Box, 1 Almirah/Wardrobe Medium (3-6 feet wide), 1 Bathroom Utility Geyser, 1 Washing Machine Washing Machine, 2 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Gas Stove, 1 Kitchen Utility Water purifier, 2 Chairs Plastic/Folding Chair, 1 Tables Study/Computer Table, 3 Home Utility Large plant, 5 Home Utility Small plant, 5 Home Utility Medium plant, 2 Home Utility Bucket ",3 BHK Medium,,2026-01-23 15:08:32.018000,2026-01-30 14:42:32.081000,2026-01-29 17:30:00.000000,2026-01-27 13:03:41.113000,2026-01-29 10:31:33.700000,2026-01-29 10:31:39.330000,2026-01-29 11:38:03.976000,2026-01-30 09:10:54.586000,2026-01-30 14:42:32.073000,,On_Time,,Detractor,Bronze,intra_city,0,0,ServiceLift,Scheduled,Peak Days,6948.9000000000000000000000000,0.9000000000000000000000000,6948.9000000000000000000000000,3,0,1,1,1,0,0,0,1,No,No,63.483333333333333,{Cancellation: Shifting plan cancelled; Service Related: Wrong vehicle assigned},12.693449602,884,884,,No,true
2329428,13146,24261,Delhi,2,196,Noida,Delhi,2,196,Noida,completed,"2 Bed frame Double Bed, 1 TV/Monitor 29"" to 43"", 1 Bed frame Single Bed, 1 Sofa Double, 1 Sofa 6 Seater, 2 AC/Cooler/Fan AC (Split), 1 AC/Cooler/Fan Cooler, 1 Fridge Medium - 80 to 300 Ltrs, 1 Mattress Single Mattress, 2 Mattress Double Mattress, 11 Cartons Self Carton Box, 1 Almirah/Wardrobe Medium (3-6 feet wide), 1 Almirah/Wardrobe Big (6-9 feet wide), 2 Bathroom Utility Geyser, 1 Washing Machine Washing Machine, 3 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Gas Stove, 2 Chairs Plastic/Folding Chair, 2 Kitchen Utility Utensil Rack, 2 Tables Bed Side Table, 2 Tables Study/Computer Table, 1 Tables Center Table, 4 Home Utility Lamp, 1 Accessories Book Shelf, 1 Accessories Shoe Rack, 1 Accessories Mandir (Big), 1 Home Utility Ladder, 4 Home Utility Bucket, 2 Bags Medium suitcase ",3 BHK Medium,"Single-layer packing, Unpacking all the packed items, Dismantling and reassembly of basic furniture",2026-01-27 19:03:53.830000,2026-02-01 02:17:43.729000,2026-01-31 15:30:00.000000,2026-01-27 13:42:03.892000,2026-01-27 17:45:57.243000,2026-01-31 09:41:21.706000,2026-01-31 09:48:47.336000,2026-01-31 15:57:46.474000,2026-02-01 02:17:43.726000,,On_Time,,Detractor,Gold,intra_city,0,0,ServiceLift,Scheduled,Peak Days,12830.2000000000000000000000000,1.2000000000000000000000000,12830.2000000000000000000000000,1,0,0,0,1,0,0,0,0,No,No,3.800000000000000,{},0.1531543865,904,984,,Yes,false
2261282,15719,33014,Delhi,2,196,Noida,Delhi,2,194,Ghaziabad,completed,"1 Bed frame Single Bed, 1 Sofa Recliner, 5 Cartons Porter Carton Box, 4 Gunny bag Gunny Bags, 1 Bed frame Folding Cot, 1 Fridge Small - Upto 80 Ltrs, 3 Mattress Single Mattress, 12 Cartons Self Carton Box, 1 Bags Large suitcase, 1 Washing Machine Washing Machine, 1 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Gas Stove, 1 Kitchen Utility Microwave / OTG, 3 Chairs Plastic/Folding Chair, 1 Chairs Office Chair, 1 Tables Bed Side Table, 1 Tables Study/Computer Table, 1 Home Utility Lamp, 1 Accessories Book Shelf, 2 Accessories Mirror (Large), 4 Home Utility Bucket, 3 Bags Cabin/Small suitcase, 1 Bags Medium suitcase, 1 Home Utility Clothes Stand ",1 BHK Big,"Single-layer packing, Dismantling and reassembly of basic furniture",2026-01-09 15:33:49.771000,2026-01-09 22:51:47.050000,2026-01-09 18:30:00.000000,2026-01-09 10:04:03.534000,2026-01-09 10:41:38.963000,2026-01-09 12:56:53.274000,2026-01-09 12:57:37.158000,2026-01-09 14:43:27.499000,2026-01-09 22:51:47.045000,,On_Time,,Detractor,Bronze,intra_city,0,0,ServiceLift,Same Day,Non Peak Days,5256.9500000000000000000000000,1.0000000000000000000000000,5256.9500000000000000000000000,2,0,0,1,1,0,0,1,5,Yes,No,17977.585000000000000,{Customer RNR: RNR; Enquiry: Share Booking Details},0.2175797916,431,417,,Yes,false
2254167,14500,23189,Mumbai,1,7,Zone 10,Mumbai,1,34,Zone 01,completed,"1 Bed frame Single Bed, 50 Cartons Porter Carton Box, 4 Mattress Single Mattress, 1 Mattress Single Mattress, 1 Washing Machine Washing Machine, 1 Kitchen Utility Gas Stove, 1 Chairs Office Chair, 1 Tables Study/Computer Table, 1 Vehicle Bicycle, 60 Home Utility Decorative Item, 1 Home Utility Ladder, 2 Home Utility Water Drum, 2 Others Piano/Guitar, 130 Home Utility Small plant, 20 Home Utility Medium plant, 2 Bags Cabin/Small suitcase, 3 Bags Medium suitcase, 1 Home Utility Clothes Stand ",3 BHK Medium,"Carton with Customer for Cartons (Porter Carton Box), Multi-layer packing",2026-01-07 01:36:53.229000,2026-01-10 19:07:45.450000,2026-01-09 15:30:00.000000,2026-01-06 20:33:33.712000,2026-01-06 20:33:47.098000,2026-01-09 09:52:28.353000,2026-01-09 09:52:46.455000,2026-01-09 22:59:15.974000,2026-01-10 19:07:45.442000,,On_Time,,Detractor,Bronze,intra_city,12,2,NoLift,Scheduled,Peak Days,16785.8000000000000000000000000,1.0000000000000000000000000,16785.8000000000000000000000000,5,0,0,4,1,0,0,2,5,Yes,No,6951.810000000000000,{Changes in order requirement: Incorrect Requirement Captured; Changes in order requirement: Changes in Material; Customer RNR: RNR; Enquiry: Share Booking Details; Payment related: Changes in invoice},0.0262654348,560,942,,Yes,false
2194361,9680,32977,Bangalore,3,180,Nagawara,Bangalore,3,180,Nagawara,completed,"1 TV/Monitor Upto 28"", 3 Bed frame Single Bed, 14 Cartons Porter Carton Box, 1 AC/Cooler/Fan Cooler, 3 Mattress Single Mattress, 1 Mattress Single Mattress, 1 Washing Machine Washing Machine, 1 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Water purifier, 1 Chairs Office Chair, 1 Chairs Rocking Chair, 1 Kitchen Utility Utensil Rack, 1 Tables Study/Computer Table, 1 Accessories TV Stand/Trolley, 1 Accessories Shoe Rack, 8 Home Utility Small plant, 1 Home Utility Medium plant, 2 Bags Cabin/Small suitcase, 1 Bags Medium suitcase ",1 BHK Big,"Single-layer packing, Dismantling and reassembly of basic furniture",2025-12-22 19:27:18.819000,2026-01-25 23:59:05.311000,2026-01-25 16:30:00.000000,2026-01-18 05:30:07.987000,2026-01-25 08:36:51.625000,2026-01-25 08:36:56.106000,2026-01-25 11:02:48.692000,2026-01-25 15:15:03.282000,2026-01-25 23:59:05.304000,,On_Time,,Detractor,GoldPlus,intra_city,0,0,ServiceLift,Scheduled,Non Peak Days,5455.0000000000000000000000000,,5455.0000000000000000000000000,4,0,0,3,1,0,0,1,8,Yes,No,856.285000000000000,"{Changes in order requirement: Add on Services related issue (Electrician, carpenter, etc); Customer RNR: RNR; Enquiry: Share Booking Details; Service Related: Crew Behaviour / Hygiene}",20.935016121,224,436,,Yes,false
2292652,7335,11016,Delhi,2,27,Zone 12,Delhi,2,22,Zone 09,completed,"1 Bed frame Double Bed, 12 Gunny bag Gunny Bags, 1 AC/Cooler/Fan Cooler, 1 Bed frame Folding Cot, 1 Mattress Single Mattress, 1 Kitchen Utility Gas Stove, 1 Kitchen Utility Water purifier, 1 Home Utility Tub, 1 Home Utility Bucket ",1 BHK Small,2 Extra Labours,2026-01-18 16:01:17.268000,2026-01-23 17:52:22.172000,2026-01-18 21:30:00.000000,2026-01-18 10:31:28.313000,2026-01-18 15:32:37.465000,2026-01-18 15:33:15.240000,2026-01-18 15:33:52.819000,2026-01-23 12:21:35.670000,2026-01-23 17:52:22.162000,,On_Time,,Detractor,Bronze,intra_city,2,1,NoLift,Same Day,Non Peak Days,3773.2400000000000000000000000,1.2000000000000000000000000,3773.2400000000000000000000000,2,0,0,1,1,0,0,0,2,No,No,53.985000000000000,{Cancellation: Duplicate order},0.4082805582,141,201,,Yes,false
2251836,10248,16667,Mumbai,1,1,Zone 06,Mumbai,1,1,Zone 06,completed,"1 Bed frame Double Bed, 1 TV/Monitor 29"" to 43"", 25 Gunny bag Gunny Bags, 1 AC/Cooler/Fan Table Fan, 1 Fridge Medium - 80 to 300 Ltrs, 2 Mattress Double Mattress, 2 Bags Large suitcase, 1 Almirah/Wardrobe Small (0-3 feet wide), 1 Almirah/Wardrobe Big (6-9 feet wide), 1 Washing Machine Washing Machine, 1 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Gas Stove, 1 Chairs Office Chair, 1 Kitchen Utility Utensil Rack, 1 Tables Study/Computer Table, 1 Tables Coffee Table, 1 Tables Dressing Table, 1 Accessories Shoe Rack, 2 Home Utility Tub, 1 Home Utility Sewing Machine, 1 Others Piano/Guitar, 1 Home Utility Bucket, 1 Bags Cabin/Small suitcase, 2 Bags Medium suitcase ",2 BHK Medium,Dismantling and reassembly of basic furniture,2026-01-06 15:57:43.053000,2026-01-09 23:04:59.435000,2026-01-09 11:30:00.000000,2026-01-06 10:29:07.442000,2026-01-09 06:42:07.014000,2026-01-09 06:42:12.280000,2026-01-09 07:25:59.859000,2026-01-09 15:04:05.582000,2026-01-09 23:04:59.426000,,,55,Detractor,GoldPlus,intra_city,0,0,ServiceLift,Scheduled,Non Peak Days,5716.3000000000000000000000000,1.0000000000000000000000000,5716.3000000000000000000000000,1,0,0,0,1,0,0,0,0,No,No,70.970000000000000,{Enquiry: Share Vendor Details},,519,558,,Yes,false
2233408,8325,34339,Bangalore,3,184,Yeshwanthpur-peenya,Bangalore,3,181,Hosur road,completed,"2 Cartons Porter Carton Box, 1 Cartons Self Carton Box, 3 Bags Cabin/Small suitcase, 1 Bags Medium suitcase ",Micro Shifting,,2026-01-01 17:42:20.885000,2026-01-01 22:44:54.949000,2026-01-01 20:30:00.000000,2026-01-01 12:13:40.261000,2026-01-01 14:55:12.557000,2026-01-01 14:55:21.993000,2026-01-01 14:55:32.478000,2026-01-01 17:14:10.566000,2026-01-01 22:44:54.945000,,On_Time,,Detractor,Bronze,intra_city,0,0,ServiceLift,Same Day,Peak Days,1568.8600000000000000000000000,1.2000000000000000000000000,1568.8600000000000000000000000,2,0,0,1,1,0,0,0,5,No,No,1977.475000000000000,{Service Related: Crew Behaviour / Hygiene},0.02800338073,27,27,,No,false
2325599,17954,34566,Delhi,2,27,Zone 12,Delhi,2,27,Zone 12,completed,"2 Bed frame Double Bed, 1 TV/Monitor 29"" to 43"", 1 TV/Monitor Upto 28"", 2 Sofa 5 Seater, 2 Bed frame Single Bed, 1 Sofa 6 Seater, 13 Cartons Porter Carton Box, 1 AC/Cooler/Fan Table Fan, 1 Fridge Medium - 80 to 300 Ltrs, 1 Mattress Single Mattress, 2 Mattress Double Mattress, 9 Cartons Self Carton Box, 1 Almirah/Wardrobe Medium (3-6 feet wide), 1 Washing Machine Washing Machine, 1 Kitchen Utility Gas Cylinder, 1 Kitchen Utility Water purifier, 1 Kitchen Utility Microwave / OTG, 1 Chairs Plastic/Folding Chair, 1 Chairs Office Chair, 4 Chairs Dining Table Chairs, 3 Tables Bed Side Table, 2 Tables Study/Computer Table, 1 Tables Dining Table, 3 Tables Coffee Table, 1 Home Utility Iron Board, 1 Accessories TV Stand/Trolley, 1 Accessories Book Shelf, 1 Accessories Shoe Rack, 1 Home Utility Tub, 1 Home Utility Ladder, 8 Home Utility Small plant, 3 Home Utility Medium plant, 1 Home Utility Bucket, 1 Home Utility Clothes Stand ",3 BHK Big,"Multi-layer packing, Unpacking all the packed items",2026-01-26 19:08:27.815000,2026-01-30 16:02:11.445000,2026-01-29 15:30:00.000000,2026-01-26 13:50:49.583000,2026-01-29 05:43:44.777000,2026-01-29 05:43:56.618000,2026-01-29 10:33:14.964000,2026-01-29 15:24:55.911000,2026-01-30 16:02:11.440000,,,3,Detractor,Silver,intra_city,0,0,ServiceLift,Scheduled,Peak Days,12722.9000000000000000000000000,0.9000000000000000000000000,12722.9000000000000000000000000,2,0,0,1,1,0,0,1,4,Yes,No,105.290000000000000,"{Changes in order requirement: Add on Services related issue (Electrician, carpenter, etc)}",27.750557889,1112,1112,,Yes,false
